# CSV file to store all the diseases with their symptoms
61, meningetis, "fever, headache, vomiting, visual sensitivity to light, stiff neck and back, confusion, drowsiness, unsteady gait, irritability, loss of consciousness, poor responsiveness, seizures, muscle weakness, severe dementia, memory loss"
62, metabolic acidosis, "rapid shallow breathing, confusion, fatigue, headache, sleepiness, lack of appetite, jaundice, increased heart rate, fruity breath, ketoacidosis"
63, motion sickness, "uneasiness, cold sweats, dizziness, pale skin, increased saliva production, headache, fatigue, nausea, vomiting"
64, mumps, "swollen painful salivary glands, fever, headache, fatigue, appetite loss"
65, narcolepsy, "excessive daytime sleepiness, cataplexy, hypnagogic hallucinations, sleep paralysis, disturbed nocturnal sleep, blurred vision, double vision, droopy eyelids"
66, pancreatic cancer, "loss of appetite, unintentional weight loss, abdominal or lower back pain, blood clots, jaundice, yellow skin and eyes, depression"
67, panic attack, "racing or pounding heartbeat, palpitations, chest pains, stomach upset, dizziness, lightheadedness, nausea, hyperventilation, difficulty breathing, feeling smothered, choking sensation, hand tingling, numbness, flashes, sweating, chills, trembling, shaking, dreamlike sensations, perceptual distortions, terror, need to escape, fear of dying"
68, paronychia, "redness tenderness of skin around nail, pus-filled blisters, changes in nail shape color or texture, detachment of nail"
69, pneumonia, "fever, chills, cough, shortness of breath, fatigue"
70, pregnancy, "absence of menstrual periods, breast swelling tenderness, food cravings"
71, prostatitis, "difficult or frequent urinating, blood in urine, groin pain, rectal pain, abdominal pain, low back pain, fever, chills, malaise, body aches, urethral discharge, painful ejaculation, sexual dysfunction"
72, respiratory acidosis, "fatigue, drowsiness, becoming tired easily, confusion, shortness of breath, sleepiness, headache"
73, retinal detachment, "flashing lights, floaters"
74, rheumatoid arthritis, "stiffness, muscle aches, low-grade fever, fatigue, lack of appetite, loss of energy, warm swollen reddened painful joints"
75, rosacea, "acial flushing, blushing, skin redness, burning, red bumps, pustules, small cysts, thickening of facial tissue"
76, scleroderma, "redness, swelling, tenderness, itching, skin tightness hardening"
77, shingles, "one-sided stabbing pain, tingling, itching, burning, stinging, rashes, headache, fever, chills, nausea, body aches, fluid-filled blistering red rash"
78, sinus infection, "sinus headache, facial tenderness, pressure or pain in sinuses ears teeth, fever, cloudy discolored nasal or postnasal drainage, nasal stuffiness, sore throat, cough, facial swelling"
79, staph infection, "red swollen tender painful blisters, drainage or pus, sepsis, high fever, chills, low blood pressure"
80, tinnitus, "ringing in ears"
81, tonsillitis, "very sore throat, painful swallowing, scratchy-sounding voice, bad breath, fever, chills, earaches, stomachaches, headache, stiff neck, jaw and neck tenderness, swollen lymph nodes, red and swollen tonsils"
82, tuberculosis, "fatigue, fever, night sweats, appetite loss, weight loss"
83, tularemia, "skin ulcers, swollen lymph nodes near ulce, severe headaches, fever, chills, fatigue"
84, typhus, "severe headache, high fever, rashes, confusion, stupor, low blood pressure, eye sensitivity to bright lights, severe muscle pain"
85, urinary retention, "inability to urinate, painful urgent need to urinate, pain or discomfort in lower abdomen, bloating of lower abdomen"
86, West Nile virus, "fever, headache, body aches, skin rash, swollen lymph nodes, stiff neck, sleepiness, disorientation, coma, tremors, convulsions, paralysis"
87, yeast infection, "thick odorless whitish-gray vaginal discharge"
